Timecode,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25
2021-01-04T00:00:00.0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T01:00:00.0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T02:00:00.0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T03:00:00.0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T04:00:00.0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T05:00:00.0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T06:00:00.0,356,0,0,0,0,0,160,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T07:00:00.0,356,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T08:00:00.0,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T09:00:00.0,80,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T10:00:00.0,0,0,0,0,75,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T11:00:00.0,0,0,0,0,75,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T12:00:00.0,0,0,0,0,75,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T13:00:00.0,0,0,0,0,75,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T14:00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T15:00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T16:00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T17:00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04T18:00:00.0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,3
2021-01-04T19:00:00.0,0,6,3,0,0,0,3,46,0,78,0,3,0,0,0,0,6,0,49,0,0,3,6,3,3
2021-01-04T20:00:00.0,3,52,3,0,0,75,3,49,0,124,46,3,49,52,0,0,6,3,52,0,3,49,55,3,6
2021-01-04T21:00:00.0,3,52,3,0,3,75,3,49,0,124,46,49,52,52,124,3,6,3,52,46,3,49,58,3,52
2021-01-04T22:00:00.0,6,101,3,0,6,78,3,49,49,124,49,49,52,52,124,3,55,3,52,46,49,49,58,3,55
2021-01-04T23:00:00.0,58,101,3,81,6,81,49,52,49,124,49,49,52,55,127,52,55,49,52,49,49,49,58,52,55
2021-01-05T00:00:00.0,58,98,3,81,6,6,46,52,49,46,49,49,52,55,52,52,55,49,52,49,49,49,58,52,55
2021-01-05T01:00:00.0,58,98,3,81,6,6,46,6,49,46,3,0,6,55,52,52,52,46,3,49,49,3,55,49,52
2021-01-05T02:00:00.0,52,3,0,81,6,6,46,6,49,0,3,0,3,9,6,49,49,46,3,3,0,0,3,49,6
2021-01-05T03:00:00.0,52,3,0,3,6,6,46,3,49,0,3,0,0,3,6,49,3,46,0,3,0,0,3,49,3
2021-01-05T04:00:00.0,52,0,0,3,0,6,160,3,3,0,0,0,0,3,3,3,3,0,0,3,0,0,0,0,0
2021-01-05T05:00:00.0,6,0,0,3,0,0,160,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
2021-01-05T06:00:00.0,276,0,0,0,0,0,160,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05T07:00:00.0,276,0,0,0,0,0,160,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05T08:00:00.0,356,0,0,0,0,0,160,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05T09:00:00.0,356,0,0,0,0,0,160,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
